Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4128.HEIC,1,"Q1: 49 | Q2: Male | Q3: Reno, NJ | Q4: 15 | Q5: Creativity, Agency, LOVE | Q6: AI is still dependent on computers to ran on | Q7: Maybe one day. Has to evolve Death is what forces introspection | Q8: Introspection, Reflection, Mortality | a) I believe we will see AGI in 10 years.",49,Male,"Reno, NJ",15,"Creativity, Agency, LOVE",AI is still dependent on computers to ran on,Maybe one day. Has to evolve Death is what forces introspection,"Introspection, Reflection, Mortality | a) I believe we will see AGI in 10 years.",,,49,M,15,Local/West,Elder
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4112.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4126.HEIC,1,"Q1: 1.35 | Q2: mahe | Q3: Rao, Nonde | Q4: first time | Q5: Consciousness | Q6: chemical driven us. dato drives | Q7: possibly | Q8: enoyers | Q9: No",1.35,mahe,"Rao, Nonde",first time,Consciousness,chemical driven us. dato drives,possibly,enoyers,No,,1,O,1,US Other,Virgin
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4127.HEIC,1,Q1: 40 | Q2: F | Q3: 48K | Q4: 3 | Q5: honesty | Q6: physical touch,40,F,48K,3,honesty,physical touch,,,,,40,F,3,US Other,Sophomore
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4127.HEIC,2,"Q1: 43 | Q2: M | Q3: 48K | Q4: 1 | Q5: No, Not yet | Q6: human Connection, family | Q7: Loss",43,M,48K,1,"No, Not yet","human Connection, family",Loss,,,,43,M,1,US Other,Virgin
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4113.HEIC,1,Q1: 29 | Q2: F | Q3: Re | Q4: 2 | Q5: 10 | Q6: G | Q7: no | Q8: se | Q9: J,29,F,Re,2,10,G,no,se,J,,29,F,2,US Other,Sophomore
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4125.HEIC,1,Q1: 44 | Q2: Male | Q3: Nevada | Q4: 1x | Q5: [Blank] | Q6: Flesh | Q7: No | Q8: No,44,Male,Nevada,1x,[Blank],Flesh,No,No,,,44,M,1,Local/West,Virgin
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4118.HEIC,1,"Q1: 1.34 | Q2: F | Q3: Oakland, CA | Q4: 4 | Q5: Clothing | Q6: Consciousness | Q7: Define 'moras with: possibly, depending. | Q8: Crying for so many reasons; genuine tenderness | Q9: I am actively practicing attending; attuning b, better (more skillfully) manager internal, emotional, psychological, intrapsychic boundaries. so difficult for me.",1.34,F,"Oakland, CA",4,Clothing,Consciousness,"Define 'moras with: possibly, depending.",Crying for so many reasons; genuine tenderness,"I am actively practicing attending; attuning b, better (more skillfully) manager internal, emotional, psychological, intrapsychic boundaries. so difficult for me.",,1,F,4,Local/West,Veteran
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4114.HEIC,1,"Q1: 39 | Q2: How dare you ask | Q3: I live wherever the wind takes me | Q4: One | Q5: Intelligence, | Q6: Ability to absorb substances leading to terrible decisions | Q7: Ya, human bar of morality is low | Q8: Watching Mahomes become the greatest athlete of all time | Q9: Way too much of a capitalist to fit in here. I think I did my best.",39,How dare you ask,I live wherever the wind takes me,One,"Intelligence,",Ability to absorb substances leading to terrible decisions,"Ya, human bar of morality is low",Watching Mahomes become the greatest athlete of all time,Way too much of a capitalist to fit in here. I think I did my best.,,39,O,,US Other,Unknown
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4119.HEIC,1,"Q1: 33 | Q2: 7 | Q3: Honolulu | Q4: 6 | Q5: communication, sicial banding | Q6: [Blank] | Q7: [Blank]",33,7,Honolulu,6,"communication, sicial banding",[Blank],[Blank],,,,33,O,6,US Other,Veteran
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4122.HEIC,1,"Q1: 25 | Q2: M | Q3: Roaming around Scattle | Q4: 2 | Q5: Imaginative compassion Managerial follanthrough creativity | Q6: Relateability to other humans, derived of the samp code as other lifelorusion earth | Q7: If designed specifically as such especially with specialized memer Contett | Q8: This kind of global & etishuntin responsibility yet also on mystery of ove anes/heliacanthitom | Q9: I mark interseil w/ AT& Living Energy Farm ~",25,M,Roaming around Scattle,2,Imaginative compassion Managerial follanthrough creativity,"Relateability to other humans, derived of the samp code as other lifelorusion earth",If designed specifically as such especially with specialized memer Contett,This kind of global & etishuntin responsibility yet also on mystery of ove anes/heliacanthitom,I mark interseil w/ AT& Living Energy Farm ~,,25,M,2,Local/West,Sophomore
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4123.HEIC,1,"Q1: 41 | Q2: MALE | Q3: HALIFAX, NOVA SCOTIA, | Q4: VIRGIN. | Q5: WE ARE ALL ANIMALS | Q6: HUMAN EMOTION. | Q7: No | Q8: HUMAN EXPERIENCES, LOVE MAKING ADRELIN SEEKING PURSUITS | Q9: No",41,MALE,"HALIFAX, NOVA SCOTIA,",VIRGIN.,WE ARE ALL ANIMALS,HUMAN EMOTION.,No,"HUMAN EXPERIENCES, LOVE MAKING ADRELIN SEEKING PURSUITS",No,,41,M,1,US Other,Virgin
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4115.HEIC,1,"Q1: 42 | Q2: F | Q3: Longmont, co | Q4: 6 | Q5: none really, just diff ways of communicating | Q6: emotion | Q7: yes? maybe? can you teach a machine to love? | Q8: Spontaneous creativity perhaps but I also don't understand emmel perspectives | Q9: I'm a developmental psychologist so believe in the power of unique experiences to shape lives",42,F,"Longmont, co",6,"none really, just diff ways of communicating",emotion,yes? maybe? can you teach a machine to love?,Spontaneous creativity perhaps but I also don't understand emmel perspectives,I'm a developmental psychologist so believe in the power of unique experiences to shape lives,,42,F,6,US Other,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4090.HEIC,1,Q1: 30 | Q2: M | Q3: California | Q4: 2 | Q5: People not looking to connect | Q6: People correcting & helping out | Q7: overwhelmingly positive | Q8: My Corp mote Per | Q9: Nothing | Q10: Burnig Man,30,M,California,2,People not looking to connect,People correcting & helping out,overwhelmingly positive,My Corp mote Per,Nothing,Burnig Man,30,M,2,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4091.HEIC,1,"Q1: 37 | Q2: Female | Q3: Denver, Co | Q4: 3 | Q5: Not listening to what you want to do sleep. go to deep playa solo, see a DJ-not hononny you own wants makes you sad | Q6: Giving - creating an unexpected experience for others | Q7: Love | Q8: Chicken Ranch art piece | Q9: Eating my first hotdog they alluded me until WED! | Q10: Standing at the Trash Fence in the middle of the night looking at the stars (& licking her of course)",37,Female,"Denver, Co",3,"Not listening to what you want to do sleep. go to deep playa solo, see a DJ-not hononny you own wants makes you sad",Giving - creating an unexpected experience for others,Love,Chicken Ranch art piece,Eating my first hotdog they alluded me until WED!,Standing at the Trash Fence in the middle of the night looking at the stars (& licking her of course),37,F,3,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4086.HEIC,1,"Q1: 44 | Q2: F | Q3: Santa Cruz, CA | Q4: one time :) | Q5: ? | Q6: Planning and letting go of expectations | Q7: Excitement, curiosity, confidence | Q8: Seeing some of the creative mutant vehicles. Meeting new friends on Thursdays",44,F,"Santa Cruz, CA",one time :),?,Planning and letting go of expectations,"Excitement, curiosity, confidence",Seeing some of the creative mutant vehicles. Meeting new friends on Thursdays,,,44,F,,Local/West,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4086.HEIC,2,"Q9: I retired after 33 years as a psychologist, Sad to say goodbye to an amazing life gig but ready to see what's next. Bm is: See, she is not. I'm is my Daunch to how and what I next | Q10: The playa in general, experience !!",,,,,,,,,"I retired after 33 years as a psychologist, Sad to say goodbye to an amazing life gig but ready to see what's next. Bm is: See, she is not. I'm is my Daunch to how and what I next","The playa in general, experience !!",,U,,Unknown,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4107.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4087.HEIC,1,"Q1: 1-68 | Q2: M | Q3: Santa Cruz, CA | Q4: 3 | Q5: Noise-camp INVASION, Moving Into our Bouneries | Q6: The People-So inclusive, Kind generous. happy | Q7: Happiness and Awe-love | Q8: Costumes | Q9: Nothing | Q10: Se Hing & lange installations",1-68,M,"Santa Cruz, CA",3,"Noise-camp INVASION, Moving Into our Bouneries","The People-So inclusive, Kind generous. happy",Happiness and Awe-love,Costumes,Nothing,Se Hing & lange installations,1,M,3,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4096.HEIC,1,"Q1: 63 | Q2: Woman | Q3: Lincoln, U.K. | Q4: 1 | Q5: N/A | Q6: N/A | Q7: MostAll emotions - Sadness, fear, love, joy, laughter, annoyance, disappoint, hurt, rejection, inclusion, community connectedness | Q8: People's passport photos-some visitors showed me their BRC passport Pichues. | Q9: Talking with camp mates about so many things | Q10: The mountains round and round.",63,Woman,"Lincoln, U.K.",1,N/A,N/A,"MostAll emotions - Sadness, fear, love, joy, laughter, annoyance, disappoint, hurt, rejection, inclusion, community connectedness",People's passport photos-some visitors showed me their BRC passport Pichues.,Talking with camp mates about so many things,The mountains round and round.,63,F,1,US Other,Virgin
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4101.HEIC,1,"Q1: 22 | Q2: Female | Q3: Oakland, CA, USA | Q4: First time! | Q5: My parents are uptight. | Q6: My boyfriend loves it here. It's his second time. The corporate world/capitalism weighs us down & things like Burning Man build you back up. | Q7: Grief, happiness, Consen | Q8: My amazing boyfriend | Q9: Anxiety | Q10: playa art & cool designs",22,Female,"Oakland, CA, USA",First time!,My parents are uptight.,My boyfriend loves it here. It's his second time. The corporate world/capitalism weighs us down & things like Burning Man build you back up.,"Grief, happiness, Consen",My amazing boyfriend,Anxiety,playa art & cool designs,22,F,1,Local/West,Virgin
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4106.HEIC,1,"Q1: 39 | Q2: Non-Binary | Q3: Las Vegas, NV | Q4: 11 (eleven) | Q5: The people always save what the BORG fails to provide. But what ruins BM is rising ticket prices and a lack of community awareness. | Q6: The people who build and create this experience, the TCO, the artist fighting for the grant, the veteran burners looking out for virgin burners. | Q7: All emotions. It rains, it shines, lines are long, bathrooms smell, coffee is plentiful, life is short. Life is beautiful. | Q8: My partner, she's hilarious and a space of tremendous joy for me and others. | Q9: My friend has stage 3 breast cancer, so many notes in the temple about cancer. A possibility I can't make space",39,Non-Binary,"Las Vegas, NV",11 (eleven),The people always save what the BORG fails to provide. But what ruins BM is rising ticket prices and a lack of community awareness.,"The people who build and create this experience, the TCO, the artist fighting for the grant, the veteran burners looking out for virgin burners.","All emotions. It rains, it shines, lines are long, bathrooms smell, coffee is plentiful, life is short. Life is beautiful.","My partner, she's hilarious and a space of tremendous joy for me and others.","My friend has stage 3 breast cancer, so many notes in the temple about cancer. A possibility I can't make space",,39,NB,11,Local/West,Elder
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4097.HEIC,1,Q1: 39 | Q2: Male | Q3: Bend OR | Q4: THREE | Q5: Expectators/knowledge off prior to | Q6: Getting folks out of confront Athaly Zore. Interesting community literature | Q7: All of them! | Q8: The roads | Q9: My partners sadness | Q10: The Weather,39,Male,Bend OR,THREE,Expectators/knowledge off prior to,Getting folks out of confront Athaly Zore. Interesting community literature,All of them!,The roads,My partners sadness,The Weather,39,M,,US Other,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4097.HEIC,2,Q1: 46 | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: [Blank] | Q8: [Blank] | Q9: [Blank] | Q10: [Blank],46,[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],46,O,,Local/West,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4111.HEIC,1,"Q1: 1, 24 | Q2: F | Q3: Oakland, CA | Q4: 4 | Q5: FOMO, camp drama, limited modlity | Q6: Feeling connected to lafor others; Sychroniuty, manifesting, bery u ppl ce for who are cac for you You love | Q7: Joy, gratitude, annoyance, fustration, grief, eagerness, emitement, nerasnes, alokuara / discomfort | Q8: Nf sure ile realny laughed yet today | Q9: Hearing / withall 3 pmeore disus, ther childhood thera | Q10: siery camps; wandling asos the offeny","1, 24",F,"Oakland, CA",4,"FOMO, camp drama, limited modlity","Feeling connected to lafor others; Sychroniuty, manifesting, bery u ppl ce for who are cac for you You love","Joy, gratitude, annoyance, fustration, grief, eagerness, emitement, nerasnes, alokuara / discomfort",Nf sure ile realny laughed yet today,"Hearing / withall 3 pmeore disus, ther childhood thera",siery camps; wandling asos the offeny,1,F,4,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4098.HEIC,1,Q1: 46 | Q2: M | Q3: Mexico | Q4: [Blank] | Q5: shitty attitudes & lack of resilience (and drunk people) | Q6: [Blank] | Q7: Contentedness | Q8: [Illegible] | Q9: [Illegible] | Q10: the playa not spectacle,46,M,Mexico,[Blank],shitty attitudes & lack of resilience (and drunk people),[Blank],Contentedness,[Illegible],[Illegible],the playa not spectacle,46,M,,US Other,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4108.HEIC,1,"Q1: 44 | Q2: Female | Q3: Los Angeles (Burbank) | Q4: 2 | Q5: Me being in my head /overthinking | Q6: Dropping into my heart. The cuty comy alive. Miciodose of MOMA. | Q7: All of them. Compnes, joy, mardes sadums, guiet, Londres, thepers. grondelns, ease | Q8: Not sure yet tokary but a fumy failed. group photo atteypt lat right. | Q9: Somuone telling me I'n beautifel | Q10: Th addere at cars. ad The golder dragon ones.",44,Female,Los Angeles (Burbank),2,Me being in my head /overthinking,Dropping into my heart. The cuty comy alive. Miciodose of MOMA.,"All of them. Compnes, joy, mardes sadums, guiet, Londres, thepers. grondelns, ease",Not sure yet tokary but a fumy failed. group photo atteypt lat right.,Somuone telling me I'n beautifel,Th addere at cars. ad The golder dragon ones.,44,F,2,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4083.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4105.HEIC,1,"Q1: 40 | Q2: female | Q3: Las Vegas | Q4: 3 | Q5: the conditions/ the cliqueness of recent times | Q6: the neighbors | Q7: live, community, creativity | Q8: Where's Waldo nipple stamp | Q9: Will neighbor get trafficed from man she just met? | Q10: the porcupine Quill game",40,female,Las Vegas,3,the conditions/ the cliqueness of recent times,the neighbors,"live, community, creativity",Where's Waldo nipple stamp,Will neighbor get trafficed from man she just met?,the porcupine Quill game,40,F,3,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4104.HEIC,1,"Q1: 48 (Feel like 27) | Q2: Male | Q3: San Francisco | Q4: I wanted to be her for my 7x7=49 Birthday in September | Q5: Not sure yet | Q6: Connection, spiritually | Q7: Loneliness, missing my puppy Chiko who just passed | Q8: Argentineans, Venezuelans | Q9: The death of my pupie Chiko | Q10: Seeing the city at night",48 (Feel like 27),Male,San Francisco,I wanted to be her for my 7x7=49 Birthday in September,Not sure yet,"Connection, spiritually","Loneliness, missing my puppy Chiko who just passed","Argentineans, Venezuelans",The death of my pupie Chiko,Seeing the city at night,48,M,7,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4094.HEIC,1,Q1: [Blank] | Q2: M | Q3: CONNECTICCO USA | Q4: 2 | Q5: Name of parent to know about | Q6: People don't know their lumits | Q7: Others who ave veterans who help you be open to experiences,[Blank],M,CONNECTICCO USA,2,Name of parent to know about,People don't know their lumits,Others who ave veterans who help you be open to experiences,,,,,M,2,US Other,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4094.HEIC,2,"Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: Happiness, love, longius, and I miss the homm | Q8: My friends berus silly | Q9: My friends being kind. | Q10: The enormity of this place - how disparater but the summ call at one",[Blank],[Blank],[Blank],[Blank],[Blank],[Blank],"Happiness, love, longius, and I miss the homm",My friends berus silly,My friends being kind.,The enormity of this place - how disparater but the summ call at one,,O,,Local/West,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4099.HEIC,1,"Q1: 35 | Q2: Mode | Q3: Denver | Q4: 4 | Q5: No Onient | Q6: Frank | Q7: Joy, het, Pleasuly | Q8: Date Gay | Q9: Mone Peelber | Q10: Caps",35,Mode,Denver,4,No Onient,Frank,"Joy, het, Pleasuly",Date Gay,Mone Peelber,Caps,35,O,4,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4092.HEIC,1,Q1: 39 | Q2: M | Q3: Oakland CA | Q4: 9 | Q5: Lack of adherence to principles | Q6: All of | Q7: Joy. grief lave | Q8: A ridiculous ant ca | Q9: The temple | Q10: The temph,39,M,Oakland CA,9,Lack of adherence to principles,All of,Joy. grief lave,A ridiculous ant ca,The temple,The temph,39,M,9,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4084.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4100.HEIC,1,"Q1: 45 | Q2: Female | Q3: Star, Idaho | Q4: once | Q5: disgusting portos | Q6: The 10 principles | Q7: I experienced all of the emotions | Q8: Visiting with my best friend | Q9: not being able to let go of my defuntt programming | Q10: The many layers of unexpected Objects, werts, ideas, aut for example Sky divers at the Sunrise I sat in the deep playa",45,Female,"Star, Idaho",once,disgusting portos,The 10 principles,I experienced all of the emotions,Visiting with my best friend,not being able to let go of my defuntt programming,"The many layers of unexpected Objects, werts, ideas, aut for example Sky divers at the Sunrise I sat in the deep playa",45,F,1,US Other,Virgin
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4095.HEIC,1,"Q1: 39 | Q2: Male | Q3: Canada | Q4: I can't see, in the rust | Q5: The intricacys of the Plave wooks | Q6: All of you | Q7: Inspiration Juss | Q8: Moist | Q9: Rufus De Sol | Q10: ACID",39,Male,Canada,"I can't see, in the rust",The intricacys of the Plave wooks,All of you,Inspiration Juss,Moist,Rufus De Sol,ACID,39,M,,Local/West,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4095.HEIC,2,"Q1: 33 | Q2: Female | Q3: Canada | Q4: 1 | Q5: stinkay | Q6: orgr Dome | Q7: Horny, and Horuviand | Q8: vorce Horny | Q9: Rufus Desol No crying | Q10: ACID Climbing the Hearts",33,Female,Canada,1,stinkay,orgr Dome,"Horny, and Horuviand",vorce Horny,Rufus Desol No crying,ACID Climbing the Hearts,33,F,1,Local/West,Virgin
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4095.HEIC,3,Q1: 40 | Q2: MALE | Q3: Canada | Q4: 3 | Q5:  | Q6:  | Q7: Horny. exciting | Q8: Im a man | Q9: ACID Driving | Q10: Deep Plkova,40,MALE,Canada,3,,,Horny. exciting,Im a man,ACID Driving,Deep Plkova,40,M,3,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4109.HEIC,1,"Q1: 41 | Q2: Female | Q3: Reno | Q4: 7 | Q5: Exhaustion, resentment of ""freshies"" rolling in late in the week, not helping. Weather. | Q6: Surprise food, gifts, conversations, art, community - time w/ husband | Q7: Excitement, annoyance, happiness, sadness, resentment, exhaustion | Q8: Camp mates | Q9: Feeling like I wouldn't get to spend time with my husband. | Q10: Performance @11:11 on Fri 36 Logistics of Brc",41,Female,Reno,7,"Exhaustion, resentment of ""freshies"" rolling in late in the week, not helping. Weather.","Surprise food, gifts, conversations, art, community - time w/ husband","Excitement, annoyance, happiness, sadness, resentment, exhaustion",Camp mates,Feeling like I wouldn't get to spend time with my husband.,Performance @11:11 on Fri 36 Logistics of Brc,41,F,7,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4109.HEIC,2,"Q1: 45 | Q2: Male | Q3: Reno | Q4: 4 | Q5: Weather, working too much, loneliness | Q6: People connection | Q7: Fear, loneliness, joy, compassion | Q8: Awaiting laughter today | Q9: Don't cry | Q10: the $people spend w/o return",45,Male,Reno,4,"Weather, working too much, loneliness",People connection,"Fear, loneliness, joy, compassion",Awaiting laughter today,Don't cry,the $people spend w/o return,45,M,4,Local/West,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4102.HEIC,1,"Q1: 33 | Q2: F | Q3: Nomadl Orange County | Q4: 4 | Q5: Bad weather, rain | Q6: fun experiences | Q7: Joy, fulfillment, exhaustion | Q8: Chicken ranch | Q9: writing a name in temple for the 1st time | Q10: Seeing all the creativity",33,F,Nomadl Orange County,4,"Bad weather, rain",fun experiences,"Joy, fulfillment, exhaustion",Chicken ranch,writing a name in temple for the 1st time,Seeing all the creativity,33,F,4,US Other,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4088.HEIC,1,Q1: 60 | Q2: TRANS FEMALE | Q3: CENTRAL OREGOIN | Q4: 7 | Q5: UNPREPARED | Q6: COLLECTIVE COOPERATION | Q7: ALL OF THEM | Q8: THE ABSURDITY | Q9: THE NONTON DESTRUCTION | Q10: THE RESILIENCE !!,60,TRANS FEMALE,CENTRAL OREGOIN,7,UNPREPARED,COLLECTIVE COOPERATION,ALL OF THEM,THE ABSURDITY,THE NONTON DESTRUCTION,THE RESILIENCE !!,60,O,7,US Other,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4089.HEIC,1,Q1: 34 | Q2: MALE | Q3: HOUSTON | Q4: #9 | Q5: FOLICE People who DO NOT want TO BE HELE | Q6: Pranks | Q7: the propre who do want jobe heme | Q8: Souk Juice | Q9: my Brother Not being heve | Q10: Art CARS,34,MALE,HOUSTON,#9,FOLICE People who DO NOT want TO BE HELE,Pranks,the propre who do want jobe heme,Souk Juice,my Brother Not being heve,Art CARS,34,M,9,US Other,Veteran
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4103.HEIC,1,"Q1: 28 | Q2: female & whatever | Q3: Las vegar | Q4: 3 | Q5: Bad attitude, individualm entitlement | Q6: flexibility | Q7: all | Q8: penis stamp | Q9: sex (or lack thereof) | Q10: the playa providing",28,female & whatever,Las vegar,3,"Bad attitude, individualm entitlement",flexibility,all,penis stamp,sex (or lack thereof),the playa providing,28,O,3,Local/West,Sophomore
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4093.HEIC,1,"Q1: 73 | Q2: M | Q3: MAUI HI | Q4: 1 | Q5: Losing My Group when I Needed Support | Q6: Support from random & heaven people | Q7: Love, Cabin Fever in wind/Rain. Happy, Chilling, missing my mate and dog | Q8: People hanging in Census Lounge | Q9: Remembrance of the Temple | Q10: Late Night Player & Storms. Resiliency of thr Rain after",73,M,MAUI HI,1,Losing My Group when I Needed Support,Support from random & heaven people,"Love, Cabin Fever in wind/Rain. Happy, Chilling, missing my mate and dog",People hanging in Census Lounge,Remembrance of the Temple,Late Night Player & Storms. Resiliency of thr Rain after,73,M,1,US Other,Virgin
2025 Field Notes Images,F2 - Diversity & Inclusion,IMG_4047.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4085.HEIC,1,"Q1: 31 | Q2: Male | Q3: USA/WBronson/Travel alot | Q4: 3 | Q5: Lack of sleep, imbalanced chemicals, dehydration, hary to purp | Q6: Muxe Rat montes Kem happy. Going at a Jerundly pace. Beay specole abant what you want | Q7: Elation, exhaustiom, Lepression, optitions, hope, anxsery, fear, happiness | Q8: People dinny na tiny car playing land hiptop music | Q9: Harvit and yet cried last weke though. I get lovely suvetrines, feel alone =C | Q10: Small nitractores were peaple are really kill make me feel wonder forte human experience!",31,Male,USA/WBronson/Travel alot,3,"Lack of sleep, imbalanced chemicals, dehydration, hary to purp",Muxe Rat montes Kem happy. Going at a Jerundly pace. Beay specole abant what you want,"Elation, exhaustiom, Lepression, optitions, hope, anxsery, fear, happiness",People dinny na tiny car playing land hiptop music,"Harvit and yet cried last weke though. I get lovely suvetrines, feel alone =C",Small nitractores were peaple are really kill make me feel wonder forte human experience!,31,M,3,US Other,Sophomore
2025 Field Notes Images,F2 - Diversity & Inclusion,IMG_4048.HEIC,1,"Q1: 39 | Q2: Female | Q3: Dubap | Q4: once | Q5: Not at all | Q6: Hell No! | Q7: Not at all, ♡. | Q8: Neven I did wore clothes that I could disregard after but becave of emiroment not to fit in.",39,Female,Dubap,once,Not at all,Hell No!,"Not at all, ♡.",Neven I did wore clothes that I could disregard after but becave of emiroment not to fit in.,,,39,F,1,US Other,Virgin
2025 Field Notes Images,F2 - Diversity & Inclusion,IMG_4046.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,F2 - Diversity & Inclusion,IMG_4049.HEIC,1,"Q1: 27 | Q2: Female | Q3: Denver, Colorado | Q4: First timer! | Q5: I think yes because I am half latina, half ashkenazi Jewish so I look pretty cultural ambiguous and people are often curious about what I am, I also identify as queer. (Sometimes I even feel a bit fetishized for my latin background) | Q6: I think as a cis gender/feminine looking queer woman I sometimes play with my appearance based on who I want to attract. | Q7: Same as #5 | Q8: no",27,Female,"Denver, Colorado",First timer!,"I think yes because I am half latina, half ashkenazi Jewish so I look pretty cultural ambiguous and people are often curious about what I am, I also identify as queer. (Sometimes I even feel a bit fetishized for my latin background)",I think as a cis gender/feminine looking queer woman I sometimes play with my appearance based on who I want to attract.,Same as #5,no,,,27,F,1,Local/West,Virgin
2025 Field Notes Images,B1 - Survival,IMG_4065.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,B1 - Survival,IMG_4073.HEIC,1,Q1: 27 | Q2: M | Q3: NYC | Q4: 1 | Q5: Tent | Q6: Watermelon | Q7: 8 days | Q8: Experione Help,27,M,NYC,1,Tent,Watermelon,8 days,Experione Help,,,27,M,1,US Other,Virgin
2025 Field Notes Images,B1 - Survival,IMG_4069.HEIC,1,"Q1: 55 | Q2: M | Q3: [Blank] | Q4: [Blank] | Q5: my homemade solar camper van | Q6: triquetra flow toys & | Q7: 2 weeks | Q8: I do my best to help others instead. I kind of hate asking for help, for better or worse.",55,M,[Blank],[Blank],my homemade solar camper van,triquetra flow toys &,2 weeks,"I do my best to help others instead. I kind of hate asking for help, for better or worse.",,,55,M,,Local/West,Unknown
2025 Field Notes Images,B1 - Survival,IMG_4069.HEIC,2,"Q1: 34 | Q2: M | Q3: Nomad | Q4: 4 | Q5: my homemade solar camper van | Q6: triquetra flow toys & | Q7: 2 weeks | Q8: I do my best to help others instead. I kind of hate asking for help, for better or worse.",34,M,Nomad,4,my homemade solar camper van,triquetra flow toys &,2 weeks,"I do my best to help others instead. I kind of hate asking for help, for better or worse.",,,34,M,4,US Other,Veteran
2025 Field Notes Images,B1 - Survival,IMG_4072.HEIC,1,Q1: 39 | Q2: M | Q3: SF | Q4: 5 | Q5: water backpack | Q6: [Blank] | Q7: 121 | Q8: got a genray,39,M,SF,5,water backpack,[Blank],121,got a genray,,,39,M,5,Local/West,Veteran
